comment_id,comment_text,sentiment,stance,topic,source,project_name,date_submitted,provenance_url
CMT43107,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure.",Mixed,Support,Land Acquisition,MyGov_discussion,Riverfront Development Project,29-08-2024,https://example.org/MyGov_discussion/Riverfront_Development_Project/43107
CMT38696,This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs.,Mixed,Support,Waste Management,MoEFCC_attachment,Industrial Park Phase II,10-12-2022,https://example.org/MoEFCC_attachment/Industrial_Park_Phase_II/38696
CMT06189,This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs.,Mixed,Support,Infrastructure,NGO_submission,Riverfront Development Project,23-10-2024,https://example.org/NGO_submission/Riverfront_Development_Project/6189
CMT01415,There is insufficient assessment of biodiversity impact; the EIA ignores migratory routes and critical habitats.,Mixed,Suggestion Only,Public Health,Manthan_compilation,Solar Park Initiative,10-06-2024,https://example.org/Manthan_compilation/Solar_Park_Initiative/1415
CMT18472,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Mixed,Suggestion Only,Livelihood,Manthan_compilation,Plastic Recycling Facility,24-01-2025,https://example.org/Manthan_compilation/Plastic_Recycling_Facility/18472
CMT29283,I strongly oppose the project as it will displace local farmers and harm traditional livelihoods in West Bengal.,Negative,Suggestion Only,Livelihood,Manthan_compilation,Riverfront Development Project,02-09-2023,https://example.org/Manthan_compilation/Riverfront_Development_Project/29283
CMT15178,There is insufficient assessment of biodiversity impact; the EIA ignores migratory routes and critical habitats.,Mixed,Oppose,Environment,MoEFCC_attachment,Afforestation Program,24-02-2023,https://example.org/MoEFCC_attachment/Afforestation_Program/15178
CMT34305,The public hearing process lacked transparency; many villagers did not receive notice and could not participate.,Positive,Oppose,Education,Manthan_compilation,Thermal Power Expansion,08-04-2024,https://example.org/Manthan_compilation/Thermal_Power_Expansion/34305
CMT12610,This project will benefit regional transport and reduce congestion — recommend expedited approval with safeguards.,Mixed,Conditional Support,Transport,Manthan_compilation,Solar Park Initiative,27-10-2025,https://example.org/Manthan_compilation/Solar_Park_Initiative/12610
CMT12145,The government should include special provisions for tribal rights and meaningful consent in the decision-making process.,Neutral,Support,Pollution,NGO_submission,Plastic Recycling Facility,06-04-2024,https://example.org/NGO_submission/Plastic_Recycling_Facility/12145
CMT06114,The government should include special provisions for tribal rights and meaningful consent in the decision-making process.,Mixed,Neutral,Land Acquisition,MyGov_discussion,Waste-to-Energy Plant,11-05-2025,https://example.org/MyGov_discussion/Waste-to-Energy_Plant/6114
CMT15909,The proposed site is too close to residential areas and risks public health due to air and noise pollution.,Negative,Oppose,Tribal Rights,MyGov_discussion,Waste-to-Energy Plant,19-01-2023,https://example.org/MyGov_discussion/Waste-to-Energy_Plant/15909
CMT00822,This project will benefit regional transport and reduce congestion — recommend expedited approval with safeguards.,Mixed,Support,Water Management,Manthan_compilation,Irrigation Canal Project,25-04-2025,https://example.org/Manthan_compilation/Irrigation_Canal_Project/822
CMT15119,The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.,Negative,Oppose,Governance,Manthan_compilation,Coastal Highway,01-10-2022,https://example.org/Manthan_compilation/Coastal_Highway/15119
CMT13467,"Please provide a clear plan for wastewater treatment and monitoring before approving this project. Additionally, This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs.",Positive,Suggestion Only,Livelihood,NGO_submission,Industrial Park Phase II,01-09-2025,https://example.org/NGO_submission/Industrial_Park_Phase_II/13467
CMT26498,This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs.,Mixed,Support,Environment,NGO_submission,Thermal Power Expansion,10-09-2025,https://example.org/NGO_submission/Thermal_Power_Expansion/26498
CMT42112,The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.,Negative,Oppose,Waste Management,NGO_submission,Thermal Power Expansion,03-04-2025,https://example.org/NGO_submission/Thermal_Power_Expansion/42112
CMT30189,"No proper groundwater recharge study has been provided; this could worsen water scarcity locally.  yeh hamare liye zaroori hai. Additionally, Please ensure that solid waste management plans comply with SWM rules and include segregation at source.",Positive,Support,Waste Management,Manthan_compilation,Plastic Recycling Facility,01-02-2023,https://example.org/Manthan_compilation/Plastic_Recycling_Facility/30189
CMT37238,This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs.,Mixed,Conditional Support,Pollution,NGO_submission,Solar Park Initiative,17-10-2023,https://example.org/NGO_submission/Solar_Park_Initiative/37238
CMT33110,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure.",Mixed,Conditional Support,Land Acquisition,MyGov_discussion,Solar Park Initiative,15-10-2022,https://example.org/MyGov_discussion/Solar_Park_Initiative/33110
CMT36481,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Neutral,Oppose,Waste Management,Manthan_compilation,Irrigation Canal Project,13-10-2022,https://example.org/Manthan_compilation/Irrigation_Canal_Project/36481
CMT24149,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Positive,Support,Biodiversity,MoEFCC_attachment,Urban Metro Line,17-02-2024,https://example.org/MoEFCC_attachment/Urban_Metro_Line/24149
CMT05504,"This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs. Additionally, Please ensure that solid waste management plans comply with SWM rules and include segregation at source.",Mixed,Support,Education,MoEFCC_attachment,Thermal Power Expansion,25-09-2024,https://example.org/MoEFCC_attachment/Thermal_Power_Expansion/5504
CMT03919,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure.",Mixed,Support,Infrastructure,Manthan_compilation,Hydropower Dam Project,12-04-2023,https://example.org/Manthan_compilation/Hydropower_Dam_Project/3919
CMT38479,The draft policy does not explain compensation for affected families; clarify the eligibility criteria and timelines.,Mixed,Neutral,Education,Manthan_compilation,Waste-to-Energy Plant,21-06-2024,https://example.org/Manthan_compilation/Waste-to-Energy_Plant/38479
CMT21124,This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs.,Positive,Support,Land Acquisition,Manthan_compilation,Hydropower Dam Project,24-04-2023,https://example.org/Manthan_compilation/Hydropower_Dam_Project/21124
CMT49718,"Please ensure that solid waste management plans comply with SWM rules and include segregation at source. Additionally, The draft policy does not explain compensation for affected families; clarify the eligibility criteria and timelines.",Positive,Support,Land Acquisition,MoEFCC_attachment,Hydropower Dam Project,09-11-2022,https://example.org/MoEFCC_attachment/Hydropower_Dam_Project/49718
CMT42295,Please ensure that solid waste management plans comply with SWM rules and include segregation at source.,Positive,Suggestion Only,Education,MyGov_discussion,Industrial Park Phase II,25-12-2024,https://example.org/MyGov_discussion/Industrial_Park_Phase_II/42295
CMT47610,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Neutral,Suggestion Only,Livelihood,MyGov_discussion,Thermal Power Expansion,30-05-2025,https://example.org/MyGov_discussion/Thermal_Power_Expansion/47610
CMT11077,I strongly oppose the project as it will displace local farmers and harm traditional livelihoods in Karnataka.,Mixed,Suggestion Only,Agriculture,NGO_submission,Hydropower Dam Project,10-07-2024,https://example.org/NGO_submission/Hydropower_Dam_Project/11077
CMT41515,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Positive,Support,Tribal Rights,MoEFCC_attachment,Urban Metro Line,24-08-2023,https://example.org/MoEFCC_attachment/Urban_Metro_Line/41515
CMT22063,"The draft policy does not explain compensation for affected families; clarify the eligibility criteria and timelines.  local logon ka sahyog lena zaroori hai. Additionally, The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.",Mixed,Conditional Support,Agriculture,MoEFCC_attachment,Riverfront Development Project,09-11-2024,https://example.org/MoEFCC_attachment/Riverfront_Development_Project/22063
CMT09414,The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.,Mixed,Suggestion Only,Tribal Rights,MoEFCC_attachment,Riverfront Development Project,25-04-2023,https://example.org/MoEFCC_attachment/Riverfront_Development_Project/9414
CMT38341,The proposed Urban Metro Line will create jobs but the EIA report fails to address long-term pollution impacts near Uttar Pradesh.  kripya is par dhyan dein.,Negative,Support,Education,Manthan_compilation,Urban Metro Line,07-05-2023,https://example.org/Manthan_compilation/Urban_Metro_Line/38341
CMT30264,This project will benefit regional transport and reduce congestion — recommend expedited approval with safeguards.  kripya is par dhyan dein.,Mixed,Support,Land Acquisition,NGO_submission,Afforestation Program,12-05-2024,https://example.org/NGO_submission/Afforestation_Program/30264
CMT41253,No proper groundwater recharge study has been provided; this could worsen water scarcity locally.,Mixed,Oppose,Biodiversity,MoEFCC_attachment,Waste-to-Energy Plant,05-06-2023,https://example.org/MoEFCC_attachment/Waste-to-Energy_Plant/41253
CMT14645,The draft policy does not explain compensation for affected families; clarify the eligibility criteria and timelines.,Positive,Suggestion Only,Education,MoEFCC_attachment,Mining Lease Proposal,14-04-2023,https://example.org/MoEFCC_attachment/Mining_Lease_Proposal/14645
CMT26336,Please provide a clear plan for wastewater treatment and monitoring before approving this project.,Neutral,Conditional Support,Agriculture,MoEFCC_attachment,Irrigation Canal Project,17-11-2025,https://example.org/MoEFCC_attachment/Irrigation_Canal_Project/26336
CMT28103,Please ensure that solid waste management plans comply with SWM rules and include segregation at source.,Positive,Conditional Support,Biodiversity,NGO_submission,Thermal Power Expansion,24-08-2023,https://example.org/NGO_submission/Thermal_Power_Expansion/28103
CMT17524,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure. Additionally, The proposed Afforestation Program will create jobs but the EIA report fails to address long-term pollution impacts near Karnataka.",Mixed,Conditional Support,Land Acquisition,NGO_submission,Afforestation Program,12-04-2025,https://example.org/NGO_submission/Afforestation_Program/17524
CMT24713,"The proposal's timeline is unrealistic; request an extended public consultation period for thorough review. Additionally, No proper groundwater recharge study has been provided; this could worsen water scarcity locally.",Neutral,Support,Agriculture,MyGov_discussion,Waste-to-Energy Plant,13-03-2023,https://example.org/MyGov_discussion/Waste-to-Energy_Plant/24713
CMT40486,No proper groundwater recharge study has been provided; this could worsen water scarcity locally.,Positive,Suggestion Only,Land Acquisition,Manthan_compilation,Coastal Highway,27-04-2023,https://example.org/Manthan_compilation/Coastal_Highway/40486
CMT03851,"The proposed site is too close to residential areas and risks public health due to air and noise pollution.  yeh hamare liye zaroori hai. Additionally, The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.",Negative,Oppose,Renewable Energy,MyGov_discussion,Industrial Park Phase II,29-12-2022,https://example.org/MyGov_discussion/Industrial_Park_Phase_II/3851
CMT40041,There is insufficient assessment of biodiversity impact; the EIA ignores migratory routes and critical habitats.,Negative,Oppose,Land Acquisition,MyGov_discussion,Riverfront Development Project,01-06-2024,https://example.org/MyGov_discussion/Riverfront_Development_Project/40041
CMT15268,"The proposed site is too close to residential areas and risks public health due to air and noise pollution. Additionally, This project will benefit regional transport and reduce congestion — recommend expedited approval with safeguards.",Mixed,Oppose,Education,Manthan_compilation,Urban Metro Line,19-08-2023,https://example.org/Manthan_compilation/Urban_Metro_Line/15268
CMT49147,The government should include special provisions for tribal rights and meaningful consent in the decision-making process.,Negative,Oppose,Land Acquisition,MoEFCC_attachment,Plastic Recycling Facility,15-09-2023,https://example.org/MoEFCC_attachment/Plastic_Recycling_Facility/49147
CMT30002,No proper groundwater recharge study has been provided; this could worsen water scarcity locally.,Positive,Neutral,Agriculture,Manthan_compilation,Waste-to-Energy Plant,25-09-2023,https://example.org/Manthan_compilation/Waste-to-Energy_Plant/30002
CMT45927,The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.,Negative,Suggestion Only,Education,Manthan_compilation,Plastic Recycling Facility,25-11-2024,https://example.org/Manthan_compilation/Plastic_Recycling_Facility/45927
CMT43825,The government should include special provisions for tribal rights and meaningful consent in the decision-making process.,Neutral,Conditional Support,Land Acquisition,MoEFCC_attachment,Plastic Recycling Facility,22-05-2023,https://example.org/MoEFCC_attachment/Plastic_Recycling_Facility/43825
CMT17241,The proposed Irrigation Canal Project will create jobs but the EIA report fails to address long-term pollution impacts near Maharashtra.,Positive,Neutral,Infrastructure,MoEFCC_attachment,Irrigation Canal Project,09-02-2025,https://example.org/MoEFCC_attachment/Irrigation_Canal_Project/17241
CMT04893,No proper groundwater recharge study has been provided; this could worsen water scarcity locally.,Positive,Conditional Support,Agriculture,NGO_submission,Industrial Park Phase II,25-12-2023,https://example.org/NGO_submission/Industrial_Park_Phase_II/4893
CMT00726,No proper groundwater recharge study has been provided; this could worsen water scarcity locally.,Negative,Suggestion Only,Transport,NGO_submission,Riverfront Development Project,14-01-2023,https://example.org/NGO_submission/Riverfront_Development_Project/726
CMT22950,The draft policy does not explain compensation for affected families; clarify the eligibility criteria and timelines.,Negative,Support,Transport,MoEFCC_attachment,Riverfront Development Project,05-06-2024,https://example.org/MoEFCC_attachment/Riverfront_Development_Project/22950
CMT34658,This project will benefit regional transport and reduce congestion — recommend expedited approval with safeguards.,Positive,Conditional Support,Environment,NGO_submission,Afforestation Program,24-08-2025,https://example.org/NGO_submission/Afforestation_Program/34658
CMT37214,"The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values. Additionally, This project will benefit regional transport and reduce congestion — recommend expedited approval with safeguards.",Mixed,Oppose,Land Acquisition,MoEFCC_attachment,Hydropower Dam Project,16-02-2023,https://example.org/MoEFCC_attachment/Hydropower_Dam_Project/37214
CMT20305,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure.",Mixed,Support,Biodiversity,NGO_submission,Thermal Power Expansion,09-08-2024,https://example.org/NGO_submission/Thermal_Power_Expansion/20305
CMT15270,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure.",Mixed,Conditional Support,Waste Management,MyGov_discussion,Irrigation Canal Project,17-02-2023,https://example.org/MyGov_discussion/Irrigation_Canal_Project/15270
CMT22368,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure.",Positive,Support,Livelihood,MyGov_discussion,Coastal Highway,27-12-2023,https://example.org/MyGov_discussion/Coastal_Highway/22368
CMT42685,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure.",Positive,Conditional Support,Renewable Energy,Manthan_compilation,Solar Park Initiative,20-02-2025,https://example.org/Manthan_compilation/Solar_Park_Initiative/42685
CMT46735,The proposed site is too close to residential areas and risks public health due to air and noise pollution.,Negative,Suggestion Only,Land Acquisition,MyGov_discussion,Thermal Power Expansion,21-05-2023,https://example.org/MyGov_discussion/Thermal_Power_Expansion/46735
CMT11733,There is insufficient assessment of biodiversity impact; the EIA ignores migratory routes and critical habitats.,Mixed,Oppose,Pollution,MoEFCC_attachment,Industrial Park Phase II,19-06-2024,https://example.org/MoEFCC_attachment/Industrial_Park_Phase_II/11733
CMT18620,This project will benefit regional transport and reduce congestion — recommend expedited approval with safeguards.,Positive,Support,Water Management,MyGov_discussion,Thermal Power Expansion,01-12-2023,https://example.org/MyGov_discussion/Thermal_Power_Expansion/18620
CMT48493,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Mixed,Conditional Support,Governance,MyGov_discussion,Afforestation Program,12-03-2024,https://example.org/MyGov_discussion/Afforestation_Program/48493
CMT26804,"Please ensure that solid waste management plans comply with SWM rules and include segregation at source.  yeh hamare liye zaroori hai. Additionally, The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.",Neutral,Conditional Support,Transport,NGO_submission,Hydropower Dam Project,27-04-2023,https://example.org/NGO_submission/Hydropower_Dam_Project/26804
CMT44306,The public hearing process lacked transparency; many villagers did not receive notice and could not participate.,Neutral,Oppose,Agriculture,MyGov_discussion,Thermal Power Expansion,14-11-2023,https://example.org/MyGov_discussion/Thermal_Power_Expansion/44306
CMT47523,The draft policy does not explain compensation for affected families; clarify the eligibility criteria and timelines.,Negative,Suggestion Only,Education,MyGov_discussion,Waste-to-Energy Plant,09-10-2023,https://example.org/MyGov_discussion/Waste-to-Energy_Plant/47523
CMT32208,No proper groundwater recharge study has been provided; this could worsen water scarcity locally.,Positive,Suggestion Only,Waste Management,MyGov_discussion,Industrial Park Phase II,20-09-2024,https://example.org/MyGov_discussion/Industrial_Park_Phase_II/32208
CMT02531,This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs.  yeh hamare liye zaroori hai.,Mixed,Support,Agriculture,NGO_submission,Mining Lease Proposal,10-03-2024,https://example.org/NGO_submission/Mining_Lease_Proposal/2531
CMT17747,I strongly oppose the project as it will displace local farmers and harm traditional livelihoods in Karnataka.,Mixed,Oppose,Public Health,NGO_submission,Industrial Park Phase II,26-06-2024,https://example.org/NGO_submission/Industrial_Park_Phase_II/17747
CMT08271,The proposed Plastic Recycling Facility will create jobs but the EIA report fails to address long-term pollution impacts near Assam.,Negative,Neutral,Education,NGO_submission,Plastic Recycling Facility,10-05-2025,https://example.org/NGO_submission/Plastic_Recycling_Facility/8271
CMT15080,The draft policy does not explain compensation for affected families; clarify the eligibility criteria and timelines.,Mixed,Neutral,Governance,MoEFCC_attachment,Solar Park Initiative,12-10-2023,https://example.org/MoEFCC_attachment/Solar_Park_Initiative/15080
CMT13625,"The draft policy does not explain compensation for affected families; clarify the eligibility criteria and timelines. Additionally, The government should include special provisions for tribal rights and meaningful consent in the decision-making process.",Mixed,Suggestion Only,Tribal Rights,NGO_submission,Coastal Highway,11-12-2022,https://example.org/NGO_submission/Coastal_Highway/13625
CMT30639,No proper groundwater recharge study has been provided; this could worsen water scarcity locally.,Mixed,Support,Agriculture,MoEFCC_attachment,Plastic Recycling Facility,25-05-2023,https://example.org/MoEFCC_attachment/Plastic_Recycling_Facility/30639
CMT30441,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure.",Mixed,Support,Pollution,MyGov_discussion,Hydropower Dam Project,04-05-2024,https://example.org/MyGov_discussion/Hydropower_Dam_Project/30441
CMT36057,The proposed Industrial Park Phase II will create jobs but the EIA report fails to address long-term pollution impacts near Assam.,Negative,Conditional Support,Education,NGO_submission,Industrial Park Phase II,11-02-2024,https://example.org/NGO_submission/Industrial_Park_Phase_II/36057
CMT42652,No proper groundwater recharge study has been provided; this could worsen water scarcity locally.,Mixed,Support,Agriculture,Manthan_compilation,Irrigation Canal Project,27-10-2022,https://example.org/Manthan_compilation/Irrigation_Canal_Project/42652
CMT36804,The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.,Mixed,Oppose,Infrastructure,MoEFCC_attachment,Mining Lease Proposal,17-11-2024,https://example.org/MoEFCC_attachment/Mining_Lease_Proposal/36804
CMT48225,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Negative,Conditional Support,Land Acquisition,MoEFCC_attachment,Afforestation Program,23-10-2023,https://example.org/MoEFCC_attachment/Afforestation_Program/48225
CMT29227,The public hearing process lacked transparency; many villagers did not receive notice and could not participate.,Negative,Conditional Support,Pollution,NGO_submission,Urban Metro Line,25-05-2025,https://example.org/NGO_submission/Urban_Metro_Line/29227
CMT05634,The draft policy does not explain compensation for affected families; clarify the eligibility criteria and timelines.,Neutral,Conditional Support,Livelihood,NGO_submission,Hydropower Dam Project,11-12-2023,https://example.org/NGO_submission/Hydropower_Dam_Project/5634
CMT05988,"I appreciate the focus on sustainability but seek stronger monitoring, independent audits, and public disclosure.",Mixed,Conditional Support,Renewable Energy,MoEFCC_attachment,Afforestation Program,14-12-2024,https://example.org/MoEFCC_attachment/Afforestation_Program/5988
CMT48064,The government should include special provisions for tribal rights and meaningful consent in the decision-making process.,Negative,Neutral,Infrastructure,MoEFCC_attachment,Industrial Park Phase II,03-09-2023,https://example.org/MoEFCC_attachment/Industrial_Park_Phase_II/48064
CMT01813,Please provide a clear plan for wastewater treatment and monitoring before approving this project.,Neutral,Support,Infrastructure,NGO_submission,Thermal Power Expansion,25-09-2025,https://example.org/NGO_submission/Thermal_Power_Expansion/1813
CMT27579,The public hearing process lacked transparency; many villagers did not receive notice and could not participate.,Positive,Support,Biodiversity,NGO_submission,Coastal Highway,12-10-2023,https://example.org/NGO_submission/Coastal_Highway/27579
CMT16824,Please ensure that solid waste management plans comply with SWM rules and include segregation at source.,Mixed,Conditional Support,Governance,NGO_submission,Thermal Power Expansion,20-03-2024,https://example.org/NGO_submission/Thermal_Power_Expansion/16824
CMT03929,"This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs. Additionally, No proper groundwater recharge study has been provided; this could worsen water scarcity locally.",Positive,Support,Waste Management,MoEFCC_attachment,Irrigation Canal Project,14-03-2025,https://example.org/MoEFCC_attachment/Irrigation_Canal_Project/3929
CMT37287,This initiative is a welcome step towards renewable energy; please ensure adequate funding and local training programs.,Mixed,Conditional Support,Education,MoEFCC_attachment,Mining Lease Proposal,06-05-2023,https://example.org/MoEFCC_attachment/Mining_Lease_Proposal/37287
CMT25046,"The government should include special provisions for tribal rights and meaningful consent in the decision-making process. Additionally, The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.",Negative,Suggestion Only,Waste Management,NGO_submission,Mining Lease Proposal,02-03-2024,https://example.org/NGO_submission/Mining_Lease_Proposal/25046
CMT15728,There is insufficient assessment of biodiversity impact; the EIA ignores migratory routes and critical habitats.,Negative,Suggestion Only,Governance,MyGov_discussion,Coastal Highway,23-10-2022,https://example.org/MyGov_discussion/Coastal_Highway/15728
CMT29601,The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.,Mixed,Oppose,Infrastructure,MoEFCC_attachment,Mining Lease Proposal,28-02-2025,https://example.org/MoEFCC_attachment/Mining_Lease_Proposal/29601
CMT10431,"The government should include special provisions for tribal rights and meaningful consent in the decision-making process. Additionally, This project will benefit regional transport and reduce congestion — recommend expedited approval with safeguards.",Mixed,Neutral,Infrastructure,Manthan_compilation,Hydropower Dam Project,04-09-2025,https://example.org/Manthan_compilation/Hydropower_Dam_Project/10431
CMT25769,The government should include special provisions for tribal rights and meaningful consent in the decision-making process.,Positive,Neutral,Transport,MoEFCC_attachment,Riverfront Development Project,14-11-2025,https://example.org/MoEFCC_attachment/Riverfront_Development_Project/25769
CMT29104,The proposed site is too close to residential areas and risks public health due to air and noise pollution.,Mixed,Oppose,Tribal Rights,MyGov_discussion,Solar Park Initiative,06-06-2024,https://example.org/MyGov_discussion/Solar_Park_Initiative/29104
CMT36538,The compensation offered to small shopkeepers is inadequate — revise the packages to reflect market values.,Mixed,Oppose,Biodiversity,NGO_submission,Irrigation Canal Project,06-12-2023,https://example.org/NGO_submission/Irrigation_Canal_Project/36538
CMT39329,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Mixed,Support,Tribal Rights,NGO_submission,Hydropower Dam Project,14-11-2025,https://example.org/NGO_submission/Hydropower_Dam_Project/39329
CMT35540,The public hearing process lacked transparency; many villagers did not receive notice and could not participate.,Positive,Suggestion Only,Biodiversity,MoEFCC_attachment,Riverfront Development Project,20-02-2023,https://example.org/MoEFCC_attachment/Riverfront_Development_Project/35540
CMT28076,Please ensure that solid waste management plans comply with SWM rules and include segregation at source.,Mixed,Suggestion Only,Infrastructure,Manthan_compilation,Waste-to-Energy Plant,12-01-2024,https://example.org/Manthan_compilation/Waste-to-Energy_Plant/28076
CMT17841,I strongly oppose the project as it will displace local farmers and harm traditional livelihoods in Bihar.,Negative,Oppose,Public Health,Manthan_compilation,Solar Park Initiative,19-08-2025,https://example.org/Manthan_compilation/Solar_Park_Initiative/17841
CMT27803,The draft policy does not explain compensation for affected families; clarify the eligibility criteria and timelines.,Negative,Suggestion Only,Land Acquisition,MyGov_discussion,Hydropower Dam Project,02-01-2023,https://example.org/MyGov_discussion/Hydropower_Dam_Project/27803
CMT07683,Please provide a clear plan for wastewater treatment and monitoring before approving this project.,Positive,Oppose,Environment,MoEFCC_attachment,Industrial Park Phase II,18-06-2025,https://example.org/MoEFCC_attachment/Industrial_Park_Phase_II/7683
CMT24280,I strongly oppose the project as it will displace local farmers and harm traditional livelihoods in Maharashtra.,Mixed,Suggestion Only,Agriculture,Manthan_compilation,Hydropower Dam Project,07-12-2025,https://example.org/Manthan_compilation/Hydropower_Dam_Project/24280
CMT33071,This project will benefit regional transport and reduce congestion — recommend expedited approval with safeguards.,Mixed,Conditional Support,Infrastructure,MyGov_discussion,Thermal Power Expansion,26-12-2024,https://example.org/MyGov_discussion/Thermal_Power_Expansion/33071
CMT35558,The government should include special provisions for tribal rights and meaningful consent in the decision-making process.,Negative,Neutral,Transport,Manthan_compilation,Hydropower Dam Project,20-09-2025,https://example.org/Manthan_compilation/Hydropower_Dam_Project/35558
CMT37190,I strongly oppose the project as it will displace local farmers and harm traditional livelihoods in Jharkhand.,Negative,Suggestion Only,Water Management,Manthan_compilation,Coastal Highway,24-08-2023,https://example.org/Manthan_compilation/Coastal_Highway/37190
CMT47150,There is insufficient assessment of biodiversity impact; the EIA ignores migratory routes and critical habitats.,Negative,Oppose,Tribal Rights,NGO_submission,Coastal Highway,06-11-2024,https://example.org/NGO_submission/Coastal_Highway/47150
CMT46916,There is insufficient assessment of biodiversity impact; the EIA ignores migratory routes and critical habitats.,Mixed,Suggestion Only,Pollution,MoEFCC_attachment,Solar Park Initiative,30-03-2023,https://example.org/MoEFCC_attachment/Solar_Park_Initiative/46916
CMT09802,The proposal's timeline is unrealistic; request an extended public consultation period for thorough review.,Negative,Suggestion Only,Public Health,MyGov_discussion,Industrial Park Phase II,18-08-2023,https://example.org/MyGov_discussion/Industrial_Park_Phase_II/9802
